Sub Status,city,state,american express/premium      ,american express/regular      ,discover/premium              ,discover/regular              ,other card/premium            ,other card/regular            ,store or retail/regular       ,visa/regular                  ,mastercard/regular            ,person 1: technology adoption ,person 1: health well being   ,act/int: wine lovers          ,act/int: do-it-yourselfers    ,act/int:home improve spenders ,act/int: hunting enthusiasts  ,buyer: laptop owners          ,buyer: security sys owners    ,buyer: coupon users           ,buyer: warehouse club members ,lifestyle: life ins policy    ,lifestyle: medical policy     ,lifestyle: medicare policy    ,act/int:video gamer           ,act/int:eats family restaurant,act/int:eats fast food        ,act/int: cat owners           ,act/int: dog owners           ,style: high freq domestic vac ,style: high freq foreign vac  
Expired/Cancelled,ROCKFORD,IL,U,U,U,U,U,Y,U,Y,U,4,3,99,38,59,32,53,68,12,70,66,72,99,30,51,21,33,29,91,68
Expired/Cancelled,AURORA,CO,U,U,U,U,U,Y,U,Y,Y,1,3,99,17,20,22,40,31,27,24,25,15,99,11,46,33,40,23,13,11
Active,PEARLAND,TX,U,U,U,U,U,Y,U,U,U,2,4,99,20,24,21,50,31,38,17,37,39,99,45,45,29,16,33,32,40
Expired/Cancelled,REDONDO BEACH,CA,U,Y,U,U,U,Y,U,Y,Y,2,4,99,26,23,30,40,21,36,5,39,12,99,61,74,67,40,49,6,3
Active,NORTH SIOUX CITY,SD,U,U,U,U,U,Y,U,Y,Y,3,4,99,39,53,32,45,64,46,20,52,51,99,28,49,23,32,18,26,19
Expired/Cancelled,WEST ROXBURY,MA,U,U,U,U,U,Y,U,U,Y,3,3,99,23,1,29,56,34,36,11,15,20,99,96,73,94,54,55,15,11
Active,CHAPPAQUA,NY,U,Y,U,U,U,Y,U,U,Y,1,1,99,34,32,28,43,20,48,25,57,35,99,21,90,38,68,14,8,2
Expired/Cancelled,ORMOND BEACH,FL,U,U,U,U,U,Y,U,Y,Y,1,5,99,29,35,25,15,32,49,26,43,32,99,10,95,24,78,20,17,7
Active,BRANDYWINE,MD,U,Y,U,U,U,Y,U,Y,Y,2,4,99,22,28,13,56,36,25,49,62,46,99,35,64,67,48,37,26,24
Active,PITTSBURGH,PA,Y,Y,Y,Y,Y,Y,U,U,U,1,3,99,31,25,31,42,20,48,5,33,21,99,44,89,45,48,7,7,2
Active,OMAHA,NE,U,U,U,U,U,Y,U,Y,U,1,3,99,8,21,24,18,4,18,20,42,28,99,16,64,28,69,38,2,3
Expired/Cancelled,SEAL BEACH,CA,U,U,U,Y,U,Y,U,Y,U,1,4,99,36,34,43,44,36,13,9,42,26,99,41,29,44,32,69,5,1
Active,DEARBORN,MI,U,U,U,U,U,Y,U,Y,Y,1,1,99,12,33,13,47,33,29,25,38,20,99,27,42,21,37,8,31,24
Expired/Cancelled,MIDDLEPORT,NY,U,U,U,U,Y,Y,U,Y,Y,1,1,99,15,57,29,52,67,14,78,76,75,99,11,29,27,52,34,78,63
Active,LANCASTER,OH,U,U,U,U,U,Y,U,U,U,3,3,99,26,30,16,47,31,42,10,40,14,99,60,55,63,27,43,12,14
Expired/Cancelled,FORT WORTH,TX,,,,,,,,,,1,5,99,38,60,68,37,32,42,61,95,92,99,34,63,18,82,35,59,50
Active,CINCINNATI,OH,,,,,,,,,,3,3,99,27,15,16,48,32,55,5,11,2,99,94,82,87,26,38,16,15
Expired/Cancelled,SOUTHLAKE,TX,U,Y,U,U,U,Y,U,Y,Y,3,4,99,34,25,26,14,23,74,30,61,42,99,10,88,23,74,8,17,13
Active,LAFAYETTE,CA,U,U,U,U,U,Y,U,Y,Y,3,3,99,25,24,32,30,20,48,5,30,10,99,60,93,69,48,34,6,2
Expired/Cancelled,PROVIDENCE,RI,U,U,U,U,U,Y,U,Y,U,4,1,99,30,42,21,26,68,78,39,69,50,99,25,64,35,16,15,47,52
Active,FLOWER MOUND,TX,U,Y,U,U,U,Y,U,Y,Y,1,1,99,10,36,25,19,31,34,31,67,57,99,2,70,7,71,8,10,12
Expired/Cancelled,MIAMI,FL,U,Y,U,Y,U,Y,U,Y,Y,1,5,99,31,25,29,29,22,74,10,41,27,99,46,88,50,40,34,14,13
Active,SUNNYVALE,CA,U,U,U,U,U,U,U,U,U,2,5,99,38,56,49,2,46,79,31,65,26,99,20,95,17,71,81,4,6
Expired/Cancelled,BOSTON,MA,U,U,U,U,U,Y,U,U,U,2,4,99,51,73,50,16,44,62,27,57,36,99,37,95,25,85,91,2,1
Active,SAN ANTONIO,TX,U,Y,U,U,U,Y,U,Y,U,3,4,99,33,38,24,50,4,39,36,45,46,99,21,48,18,62,52,19,27
Expired/Cancelled,INDIANAPOLIS,IN,U,U,U,U,U,Y,U,Y,Y,1,3,99,66,99,54,31,69,47,67,89,92,99,18,80,12,93,86,31,69
Expired/Cancelled,BERWYN,PA,U,U,U,Y,U,U,U,Y,U,3,4,99,25,24,32,30,20,48,5,30,10,99,60,93,69,48,34,6,2
Active,SOUTHPORT,NC,U,U,U,U,U,Y,U,Y,Y,2,3,99,31,31,16,40,38,78,13,55,30,99,28,54,26,20,10,12,2
Expired/Cancelled,AUSTIN,TX,U,Y,U,U,U,Y,U,Y,Y,2,4,99,49,84,53,33,48,41,48,77,44,99,27,85,29,78,85,12,18
Active,DORAVILLE,GA,U,U,U,Y,U,Y,U,Y,Y,3,3,99,26,30,30,24,19,36,7,45,20,99,46,66,50,44,59,6,3
Expired/Cancelled,ORANGE,CT,U,Y,U,Y,U,Y,U,Y,Y,2,4,99,31,31,27,11,20,37,27,65,33,99,22,67,42,76,62,7,2
Expired/Cancelled,ENCINITAS,CA,U,Y,U,U,U,Y,U,Y,Y,3,4,99,31,24,27,25,20,37,25,64,33,99,23,67,43,64,55,7,3
Active,LITTLETON,MA,U,Y,U,Y,U,Y,U,U,U,3,3,99,5,14,24,35,35,45,10,45,31,99,40,48,38,39,33,9,13
Expired/Cancelled,SAN JOSE,CA,U,U,U,U,U,Y,U,U,Y,3,3,99,32,60,26,42,35,13,30,69,57,99,19,33,28,70,68,19,12
Active,NORTHVILLE,MI,U,Y,U,U,U,Y,U,Y,Y,3,3,99,26,20,28,53,30,49,3,1,1,99,78,94,82,45,22,16,6
Active,BOWLING GREEN,KY,U,Y,U,Y,U,Y,U,Y,Y,2,3,99,32,24,25,52,21,37,25,55,33,99,37,73,57,63,55,7,2
Expired/Cancelled,OWINGS MILLS,MD,U,Y,U,Y,U,Y,U,Y,U,1,3,99,31,24,27,41,21,37,25,60,28,99,22,74,38,61,20,8,3
Expired/Cancelled,SPARKS,NV,,,,,,,,,,2,5,99,29,39,23,45,34,75,30,38,28,99,36,94,60,57,63,28,24
Active,BOWLING GREEN,KY,U,Y,U,Y,U,Y,U,Y,Y,2,3,99,32,24,25,52,21,37,25,55,33,99,37,73,57,63,55,7,2
Expired/Cancelled,KINGSFORD,MI,U,U,U,U,U,Y,U,Y,Y,3,1,99,18,61,15,44,61,43,37,65,56,99,27,24,13,24,28,52,72
Expired/Cancelled,PRINCETON JUNCTION,NJ,U,Y,U,Y,U,Y,U,Y,Y,3,3,99,25,24,32,30,20,48,5,30,10,99,60,93,69,48,34,6,2
Active,BRIDGEWATER,NJ,,,,,,,,,,2,4,99,24,53,45,27,61,40,65,79,68,99,9,71,50,78,61,11,12
Active,NEW YORK,NY,U,U,U,U,U,U,U,U,U,1,3,99,87,84,47,38,88,20,55,82,65,99,28,77,39,88,98,11,5
Active,WOODSTOWN,NJ,U,U,U,U,Y,Y,U,Y,Y,1,1,99,17,35,18,56,53,61,34,29,30,99,29,98,20,33,7,52,34
Active,SAN FRANCISCO,CA,U,Y,U,U,U,Y,U,Y,Y,3,4,99,11,56,37,56,60,14,4,69,47,99,45,24,36,73,69,33,18
Expired/Cancelled,LAGUNA WOODS,CA,U,Y,U,U,U,Y,U,Y,Y,1,3,99,38,62,46,38,77,77,45,65,63,99,58,98,36,28,74,60,62
Active,VINELAND,NJ,Y,Y,U,Y,Y,Y,Y,Y,Y,3,3,99,19,35,18,31,30,27,21,63,35,99,3,28,9,57,12,20,13
Active,NEW CITY,NY,U,U,U,U,U,U,U,U,U,1,4,99,27,17,25,54,36,16,25,64,53,99,35,35,57,62,62,17,4
Expired/Cancelled,CHARLOTTE,NC,U,Y,U,U,U,Y,U,Y,U,3,2,99,8,21,24,18,4,18,20,42,28,99,16,64,28,69,38,2,3
Active,BOWIE,MD,U,Y,U,U,U,Y,U,Y,Y,3,3,99,6,20,27,17,20,17,4,26,12,99,37,64,36,49,33,2,3
Active,MANSFIELD,TX,U,U,U,U,U,U,U,U,U,2,4,99,8,6,25,7,2,34,17,16,17,99,34,71,48,79,36,2,3
Active,LA MESA,CA,,,,,,,,,,1,5,99,91,90,97,8,95,30,51,75,86,99,45,81,14,77,99,11,20
Active,TOWSON,MD,Y,Y,U,U,Y,Y,U,Y,U,4,4,99,30,24,29,31,20,48,24,53,26,99,35,93,63,67,38,7,2
Expired/Cancelled,SEMINOLE,FL,U,U,U,U,U,U,U,U,U,4,3,99,29,35,21,55,33,26,11,24,27,99,43,25,38,27,49,31,32
Active,SOUTH PASADENA,CA,U,U,U,Y,U,Y,U,Y,Y,1,4,99,31,25,31,42,20,48,5,33,21,99,44,89,45,48,7,7,2
Expired/Cancelled,RANCHO SANTA MARGARI,CA,U,U,U,U,U,Y,U,U,U,3,4,99,6,31,22,5,4,34,22,54,27,99,8,48,15,70,38,2,3
Expired/Cancelled,EAGLE RIVER,WI,U,U,U,Y,U,Y,Y,Y,Y,3,3,99,26,23,30,23,20,36,5,44,19,99,30,67,28,43,15,7,3
Expired/Cancelled,LAFAYETTE,CA,U,U,U,U,U,U,U,U,U,2,4,99,16,6,23,11,18,52,30,20,15,99,13,91,41,68,7,10,2
Expired/Cancelled,WEST HARTFORD,CT,U,U,U,U,U,U,U,U,U,1,5,99,32,24,25,52,21,37,25,55,33,99,37,73,57,63,55,7,2
Expired/Cancelled,AUSTIN,TX,,,,,,,,,,2,4,99,35,51,31,9,67,27,34,70,73,99,9,45,20,57,54,31,18
Active,FAR HILLS,NJ,Y,Y,U,U,Y,Y,Y,Y,Y,2,3,99,31,25,31,42,20,48,5,33,21,99,44,89,45,48,7,7,2
Active,NORWICH,CT,U,Y,U,U,U,Y,U,Y,U,3,4,99,23,29,16,47,30,22,17,38,20,99,59,41,63,38,41,26,24
Expired/Cancelled,EAST WALPOLE,MA,U,U,U,U,U,Y,U,Y,Y,3,3,99,13,43,21,45,30,27,3,40,14,99,43,28,38,33,49,18,13
Expired/Cancelled,FAIRFIELD,CT,Y,Y,U,Y,U,Y,Y,Y,U,2,4,99,26,7,30,39,16,37,3,10,1,99,89,67,87,13,50,5,2
Expired/Cancelled,CANTON,MI,Y,Y,U,U,Y,Y,U,U,U,2,1,99,4,16,28,17,2,18,1,1,1,99,55,63,65,50,35,2,2
Expired/Cancelled,AUSTIN,TX,U,Y,Y,Y,Y,Y,Y,Y,Y,4,4,99,42,84,56,32,48,41,27,65,28,99,51,85,35,67,84,11,18
Active,WOODBRIDGE,VA,U,Y,U,U,U,Y,U,U,U,3,4,99,4,4,27,10,14,18,2,3,2,99,23,69,37,32,7,1,2
Expired/Cancelled,THE WOODLANDS,TX,U,U,U,U,U,Y,U,U,U,3,4,99,31,39,35,21,39,28,3,31,31,99,30,55,28,54,47,18,2
Expired/Cancelled,WINCHESTER,CA,U,Y,U,U,U,U,U,U,U,4,2,99,31,32,36,51,3,23,25,76,66,99,18,24,17,74,43,41,40
Active,EMERSON,NJ,U,U,U,Y,U,Y,U,U,Y,4,4,99,23,45,22,27,60,48,49,77,63,99,12,73,25,71,47,17,11
Active,BELMAR,NJ,U,Y,U,Y,U,Y,U,Y,Y,2,4,99,35,61,50,31,55,45,12,50,35,99,36,74,26,46,89,4,1
Expired/Cancelled,RANCHO CUCAMONGA,CA,U,Y,U,U,U,Y,U,Y,Y,2,4,99,20,45,27,30,32,32,43,66,37,99,10,55,21,64,75,21,15
Active,CALHOUN,GA,Y,Y,U,U,Y,U,U,U,U,1,5,99,62,78,39,77,70,77,79,99,97,99,1,48,1,69,28,91,79
Active,EAST BRUNSWICK,NJ,U,Y,U,Y,U,Y,Y,Y,Y,3,4,99,26,23,30,40,21,36,5,39,12,99,61,74,67,40,49,6,3
Active,CAMBRIDGE,MA,U,Y,U,Y,U,Y,U,Y,Y,3,3,99,54,60,48,27,45,65,61,74,35,99,32,86,54,77,94,1,1
Expired/Cancelled,FREMONT,CA,U,U,U,U,U,U,U,U,U,2,3,99,25,24,32,30,20,48,5,30,10,99,60,93,69,48,34,6,2
Active,DALLAS,TX,U,Y,U,U,U,Y,U,Y,Y,3,4,99,29,47,32,10,47,48,15,65,36,99,45,92,49,52,29,13,4
Expired/Cancelled,CORAL SPRINGS,FL,U,U,U,U,U,U,U,U,U,3,4,99,8,21,24,18,4,18,20,42,28,99,16,64,28,69,38,2,3
Expired/Cancelled,RENO,NV,U,Y,U,U,U,Y,U,Y,U,3,4,99,26,23,30,40,21,36,5,39,12,99,61,74,67,40,49,6,3
Active,GRANBURY,TX,U,U,U,U,U,U,U,U,Y,2,3,99,25,22,22,30,30,47,44,62,40,99,23,90,58,55,54,25,26
Active,LUCAS,TX,U,Y,U,U,U,Y,U,Y,Y,2,4,99,7,25,28,26,27,34,7,19,24,99,55,71,57,55,14,8,11
Expired/Cancelled,JACKSONVILLE,FL,U,U,U,U,U,Y,U,Y,Y,2,1,99,8,35,7,57,62,71,65,27,30,99,88,49,83,4,48,71,81
Active,CLEMENTON,NJ,U,U,U,U,U,Y,U,U,U,2,3,99,10,25,20,57,44,43,29,40,42,99,42,63,39,28,55,50,36
Active,HOLLY,MI,U,Y,U,Y,U,Y,U,U,Y,4,3,99,10,52,18,46,64,17,40,67,65,99,7,42,15,49,19,57,27
Expired/Cancelled,GREENWICH,CT,U,Y,U,U,U,Y,Y,Y,Y,3,4,99,30,2,30,26,13,48,3,6,10,99,48,87,68,50,7,7,2
Active,ROCKLEDGE,FL,U,U,U,U,U,Y,U,Y,U,4,3,99,20,21,25,20,30,47,22,40,25,99,44,90,64,53,48,26,26
Active,MILPITAS,CA,U,U,U,U,U,U,U,Y,U,1,5,99,34,61,73,24,38,18,24,75,65,99,23,61,11,74,24,19,13
Expired/Cancelled,BROOMFIELD,CO,U,U,U,U,U,Y,U,U,U,3,4,99,35,41,28,21,4,43,4,24,33,99,26,42,11,58,34,18,19
Expired/Cancelled,ALPHARETTA,GA,U,Y,U,U,U,Y,U,Y,Y,3,3,99,3,1,22,26,31,17,6,10,12,99,66,48,73,50,8,9,12
Expired/Cancelled,CHULA VISTA,CA,,,,,,,,,,1,5,99,49,63,48,51,74,10,62,90,84,99,8,23,16,78,85,61,27
Expired/Cancelled,BEL AIR,MD,U,Y,U,U,U,U,U,Y,U,1,1,99,32,35,23,44,33,50,29,41,39,99,17,36,27,8,18,22,36
Active,MEDFORD,NJ,U,U,U,U,U,U,U,U,U,1,1,99,31,25,31,42,20,48,5,33,21,99,44,89,45,48,7,7,2
Expired/Cancelled,BATON ROUGE,LA,U,U,U,U,U,Y,U,Y,U,2,5,99,40,69,29,54,6,8,23,44,48,99,29,3,8,84,71,48,39
Expired/Cancelled,EASTON,PA,U,U,U,U,U,Y,U,Y,U,3,4,99,23,38,27,44,34,75,10,19,12,99,62,94,67,35,60,26,24
Active,RICHMOND,VA,U,U,U,U,U,Y,U,Y,U,2,4,99,44,81,44,8,77,72,67,81,86,99,15,82,22,80,88,45,58
Expired/Cancelled,SPRING,TX,Y,U,U,Y,Y,Y,U,Y,Y,2,1,99,32,38,24,23,3,19,27,48,52,99,2,45,3,75,7,14,26
Active,BIG LAKE,MN,U,U,U,Y,U,Y,U,Y,U,2,1,99,35,21,27,32,3,16,8,4,20,99,30,43,27,45,47,11,19
Expired/Cancelled,CENTENNIAL,CO,U,U,U,Y,U,Y,U,Y,Y,3,4,99,31,25,29,29,22,74,10,41,27,99,46,88,50,40,34,14,13
Expired/Cancelled,BROOKLYN,NY,,,,,,,,,,1,5,99,65,73,45,54,63,11,67,89,92,99,8,32,26,90,88,50,49
Expired/Cancelled,PENSACOLA,FL,U,U,U,U,U,U,U,U,U,1,5,99,59,97,34,57,78,41,73,96,97,99,9,9,6,87,82,87,74
Expired/Cancelled,WEST HARTFORD,CT,U,Y,U,U,U,Y,U,Y,U,3,4,99,41,77,24,54,8,7,54,67,65,99,10,8,4,86,73,44,41
Expired/Cancelled,BARRINGTON,RI,,,,,,,,,,3,3,99,31,24,68,30,20,48,20,50,24,99,72,93,69,54,36,5,2
Active,STATEN ISLAND,NY,U,Y,U,U,U,Y,U,Y,Y,1,1,99,13,34,21,45,31,27,2,36,14,99,27,29,20,32,9,19,13
Expired/Cancelled,GUNTERSVILLE,AL,,,,,,,,,,1,5,99,36,53,10,52,61,61,68,82,87,99,16,76,16,70,27,52,52
Expired/Cancelled,BROOKLYN,NY,U,Y,U,U,U,U,U,Y,Y,2,5,99,44,63,46,62,61,13,42,69,68,99,38,31,57,82,77,43,48
Expired/Cancelled,PALM CITY,FL,U,Y,U,U,U,Y,Y,Y,Y,3,3,99,26,15,16,47,27,42,7,10,2,99,89,52,86,9,44,12,14
Expired/Cancelled,MORGANVILLE,NJ,,,,,,,,,,1,4,99,25,46,64,13,56,52,39,70,55,99,40,93,29,56,31,16,9
Expired/Cancelled,WURTSBORO,NY,U,U,Y,U,Y,Y,U,Y,U,3,1,99,37,35,43,13,37,18,13,45,31,99,14,62,15,68,25,6,1
Expired/Cancelled,COLUMBUS,GA,,,,,,,,,,2,3,99,33,57,15,16,60,21,45,69,75,99,7,20,12,63,33,55,80
Expired/Cancelled,TRAVELERS REST,SC,U,U,U,U,U,Y,U,Y,Y,1,5,99,34,39,20,41,32,17,44,67,54,99,8,42,14,53,53,26,26
Expired/Cancelled,SARASOTA,FL,U,U,U,U,U,Y,U,U,U,3,2,99,52,48,23,36,61,49,42,75,79,99,21,88,46,71,55,34,18
Active,CINCINNATI,OH,Y,U,Y,U,U,Y,U,Y,Y,2,4,99,35,39,63,21,38,19,24,45,53,99,35,61,36,28,52,13,18
Active,SYLVANIA,OH,U,Y,U,U,U,Y,U,Y,Y,3,2,99,48,35,13,47,44,78,30,67,56,99,11,53,24,31,14,28,11
Expired/Cancelled,SAN FRANCISCO,CA,U,U,U,U,U,U,U,U,U,2,4,99,37,57,47,9,71,54,48,60,53,99,47,99,61,80,85,22,7
Expired/Cancelled,SILVER SPRING,MD,U,U,U,U,U,U,U,U,U,4,2,99,36,46,23,49,47,1,61,79,78,99,8,8,11,59,68,53,49
Expired/Cancelled,MEDINA,WA,U,Y,U,U,U,Y,U,Y,Y,1,4,99,31,25,31,42,20,48,5,33,21,99,44,89,45,48,7,7,2
Active,MOUNT PLEASANT,SC,U,U,U,U,U,Y,U,Y,Y,1,3,99,34,23,28,14,21,54,25,61,48,99,20,93,44,78,31,5,1
Expired/Cancelled,RHINELANDER,WI,U,U,U,U,U,U,U,U,Y,1,1,99,53,63,12,57,73,59,73,78,90,99,7,67,14,25,19,69,59
Active,SOUTH ELGIN,IL,U,U,U,U,U,Y,U,Y,U,1,3,99,8,21,66,5,4,18,14,43,20,99,49,66,37,56,36,1,3
Expired/Cancelled,COTTONWOOD,CA,U,U,U,U,Y,U,U,Y,U,4,2,99,18,51,26,48,62,12,41,68,58,99,24,26,21,45,41,39,31
Active,KAMAS,UT,U,Y,U,U,U,Y,Y,Y,Y,2,4,99,30,51,26,35,32,28,21,44,55,99,27,56,12,43,48,30,28
Expired/Cancelled,BASTROP,LA,,,,,,,,,,1,5,99,63,93,56,82,77,78,79,88,97,99,37,12,1,83,70,95,93
Expired/Cancelled,LITTLE ELM,TX,,,,,,,,,,2,4,99,38,38,23,23,5,16,31,48,54,99,7,44,9,76,53,12,20
Expired/Cancelled,SPRINGBORO,OH,U,Y,U,U,U,Y,U,U,U,3,3,99,3,24,22,6,13,33,27,65,44,99,7,50,15,71,38,8,12
Active,BETHESDA,MD,U,Y,U,U,U,Y,U,Y,Y,3,4,99,34,32,28,30,21,54,26,64,49,99,22,90,38,70,31,5,1
Expired/Cancelled,SUCCASUNNA,NJ,U,U,U,U,U,Y,U,Y,Y,3,3,99,31,52,38,56,65,43,29,64,50,99,27,59,22,30,37,59,25
Active,MADISON,CT,U,Y,U,U,U,Y,U,Y,Y,4,3,99,26,23,30,40,21,36,5,39,12,99,61,74,67,40,49,6,3
Expired/Cancelled,CASPER,WY,U,U,U,U,U,Y,U,U,U,1,4,99,37,60,18,37,60,30,64,84,78,99,9,40,11,42,33,46,88
Active,BLOOMFIELD HILLS,MI,U,Y,U,U,U,Y,U,Y,Y,2,4,99,41,37,63,34,4,16,25,46,53,99,35,43,11,53,50,10,20
Expired/Cancelled,CHARLESTON,SC,U,U,U,U,U,U,U,U,Y,1,5,99,78,94,31,81,65,44,92,96,99,99,9,22,1,99,79,97,97
Active,SEDALIA,MO,U,U,U,U,U,Y,Y,Y,Y,3,3,99,23,33,28,30,32,49,5,21,18,99,45,95,51,49,51,15,8
Expired/Cancelled,WAUKESHA,WI,U,U,U,U,U,U,U,U,U,3,3,99,24,22,21,55,46,74,33,44,52,99,37,94,59,56,56,46,34
Active,KANSAS CITY,MO,U,Y,U,U,U,U,U,U,U,2,1,99,32,38,24,23,3,19,27,48,52,99,2,45,3,75,7,14,26
Expired/Cancelled,GOSHEN,CT,U,U,U,U,U,U,U,Y,U,2,4,99,15,59,11,45,65,45,68,81,78,99,10,63,21,35,27,53,73
Expired/Cancelled,SYKESVILLE,MD,U,Y,U,Y,U,Y,U,Y,Y,2,1,99,20,52,16,45,68,56,36,66,60,99,17,83,12,38,7,74,54
Expired/Cancelled,CHARLOTTESVILLE,VA,U,Y,U,U,U,Y,Y,Y,Y,1,3,99,32,20,16,53,21,36,20,43,22,99,61,65,70,40,42,4,2
Expired/Cancelled,ELMSFORD,NY,,,,,,,,,,1,5,99,36,68,57,11,73,13,31,85,60,99,14,48,20,77,79,22,31
Active,BUMPASS,VA,U,U,U,U,U,Y,U,Y,U,2,1,99,32,37,11,76,40,62,32,41,34,99,54,85,31,26,25,32,43
Active,RENO,NV,U,U,U,U,U,U,U,U,U,1,3,99,54,85,40,37,79,75,68,79,92,99,14,80,13,71,84,64,95
Expired/Cancelled,SAN FRANCISCO,CA,,,,,,,,,,2,4,99,36,56,86,31,50,45,42,72,64,99,45,85,22,52,86,13,9
Active,MOBILE,AL,U,U,U,U,U,U,U,U,U,2,4,99,57,74,89,23,49,57,44,64,72,99,43,98,24,84,88,20,24
Expired/Cancelled,MOUNT AIRY,NC,U,Y,U,Y,U,Y,U,U,Y,3,3,99,33,62,10,63,92,95,98,81,81,99,19,90,17,13,1,99,95
Expired/Cancelled,HENRICO,VA,U,U,U,Y,U,U,U,Y,U,3,4,99,41,37,63,34,4,16,25,46,53,99,35,43,11,53,50,10,20
Expired/Cancelled,LOVELAND,CO,U,Y,U,U,U,Y,U,Y,Y,1,1,99,9,25,19,57,46,44,36,42,42,99,27,62,22,25,20,53,53
Expired/Cancelled,HIRAM,GA,U,U,U,U,U,Y,U,U,U,3,3,99,52,78,29,52,51,50,66,80,88,99,6,13,7,85,73,76,84
Expired/Cancelled,FREDERICK,MD,U,Y,U,Y,U,Y,U,Y,U,2,3,99,53,61,48,46,85,48,44,76,68,99,12,84,10,23,54,40,49
Expired/Cancelled,STAMFORD,CT,U,Y,U,U,U,Y,Y,Y,U,1,5,99,15,53,34,59,54,10,66,79,68,99,10,23,15,72,45,61,33
Active,BARTLESVILLE,OK,,,,,,,,,,1,4,99,19,57,46,39,66,45,64,79,77,99,38,66,26,22,22,42,72
Expired/Cancelled,PINE BROOK,NJ,U,U,U,U,U,U,U,U,U,2,5,99,85,67,37,18,69,40,14,58,56,99,30,35,26,82,81,25,17
Active,WOODLAND,CA,U,Y,U,U,U,Y,U,Y,U,3,4,99,31,53,43,58,63,10,41,68,57,99,43,26,39,72,74,69,40
Active,FORT LAUDERDALE,FL,U,Y,U,U,U,Y,U,Y,Y,2,4,99,47,57,89,16,36,31,24,61,47,99,38,90,23,74,86,1,1
Expired/Cancelled,BUFFALO,NY,U,U,U,U,U,U,U,U,U,1,5,99,90,92,43,22,86,46,65,83,91,99,13,83,17,97,97,31,44
Expired/Cancelled,NEW BERLIN,WI,U,U,U,U,U,U,U,Y,Y,1,3,99,32,41,27,21,55,46,43,78,63,99,24,74,46,71,54,13,10
Expired/Cancelled,ANDOVER,MN,U,U,U,U,U,Y,U,Y,U,3,1,99,4,16,20,7,13,33,26,59,52,99,6,56,17,79,38,9,13
Active,MONETA,VA,U,U,U,Y,U,Y,U,U,U,4,1,99,22,54,9,40,67,98,89,54,47,99,30,74,20,15,1,79,76
Expired/Cancelled,LYNDHURST,NJ,U,U,U,U,U,U,U,U,U,1,5,99,37,58,21,34,51,62,61,79,84,99,9,26,7,70,38,54,90
Active,BRONX,NY,U,U,U,U,U,Y,U,Y,Y,3,4,99,31,31,40,59,44,17,63,75,69,99,20,44,51,83,76,60,47
Expired/Cancelled,WEST LAFAYETTE,IN,U,U,U,U,U,U,U,Y,U,1,1,99,62,90,54,16,92,46,67,89,92,99,13,81,13,87,96,23,39
